order_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,delivery_delay_days,delivery_completion_rate,is_on_time,is_complete_delivery
FMR34203601,25891601,110,2024-03-04,2024-03-04,110,0,100.0,Yes,Yes
FMR32320302,25891203,347,2024-03-02,2024-03-02,347,0,100.0,Yes,Yes
FMR33320501,25891203,187,2024-03-03,2024-03-03,150,0,80.21,Yes,No
FMR34220601,25891203,235,2024-03-04,2024-03-04,235,0,100.0,Yes,Yes
FMR33703603,25891203,176,2024-03-03,2024-03-03,176,0,100.0,Yes,Yes
FMR33721603,25891203,345,2024-03-03,2024-03-03,345,0,100.0,Yes,Yes
FMR33420203,25891203,138,2024-03-03,2024-03-06,138,3,100.0,No,Yes
FMR34420402,25891203,381,2024-03-04,2024-03-05,381,1,100.0,No,Yes
FMR32403401,25891203,348,2024-03-02,2024-03-02,348,0,100.0,Yes,Yes
FMR34121203,25891203,480,2024-03-04,2024-03-06,480,2,100.0,No,Yes
FMR32501601,25891203,478,2024-03-02,2024-03-02,478,0,100.0,Yes,Yes
FMR34501203,25891203,491,2024-03-04,2024-03-04,491,0,100.0,Yes,Yes
FMR34102602,25891203,407,2024-03-04,2024-03-04,387,0,95.09,Yes,No
FMR34903603,25891203,329,2024-03-04,2024-03-04,329,0,100.0,Yes,Yes
FMR33421203,25891203,104,2024-03-03,2024-03-06,99,3,95.19,No,No
FMR33402203,25891203,491,2024-03-03,2024-03-05,491,2,100.0,No,Yes
FMR34520301,25891203,172,2024-03-04,2024-03-04,155,0,90.12,Yes,No
FMR33702302,25891302,38,2024-03-03,2024-03-03,30,0,78.95,Yes,No
FMR32320302,25891302,54,2024-03-02,2024-03-02,54,0,100.0,Yes,Yes
FMR34721502,25891302,63,2024-03-04,2024-03-05,60,1,95.24,No,No
FMR33621302,25891302,56,2024-03-03,2024-03-04,56,1,100.0,No,Yes
FMR33520601,25891302,42,2024-03-03,2024-03-05,34,2,80.95,No,No
FMR34520302,25891302,23,2024-03-04,2024-03-05,22,1,95.65,No,No
FMR32420602,25891302,49,2024-03-02,2024-03-04,49,2,100.0,No,Yes
FMR32902402,25891302,70,2024-03-02,2024-03-02,70,0,100.0,Yes,Yes
FMR32521302,25891302,34,2024-03-02,2024-03-03,34,1,100.0,No,Yes
FMR32720302,25891302,49,2024-03-02,2024-03-02,49,0,100.0,Yes,Yes
FMR33401603,25891302,40,2024-03-03,2024-03-03,40,0,100.0,Yes,Yes
FMR33121302,25891302,26,2024-03-03,2024-03-03,26,0,100.0,Yes,Yes
FMR32903403,25891302,42,2024-03-02,2024-03-02,40,0,95.24,Yes,No
FMR32422302,25891302,67,2024-03-02,2024-03-05,54,3,80.6,No,No
FMR32301302,25891302,29,2024-03-02,2024-03-05,29,3,100.0,No,Yes
FMR33721603,25891301,59,2024-03-03,2024-03-03,59,0,100.0,Yes,Yes
FMR32420403,25891301,87,2024-03-02,2024-03-02,87,0,100.0,Yes,Yes
FMR33420301,25891301,23,2024-03-03,2024-03-05,18,2,78.26,No,No
FMR33320501,25891301,46,2024-03-03,2024-03-03,46,0,100.0,Yes,Yes
FMR33122301,25891301,29,2024-03-03,2024-03-05,26,2,89.66,No,No
FMR34101301,25891301,76,2024-03-04,2024-03-04,76,0,100.0,Yes,Yes
FMR33421301,25891301,75,2024-03-03,2024-03-05,67,2,89.33,No,No
FMR34421301,25891301,47,2024-03-04,2024-03-04,45,0,95.74,Yes,No
FMR34103403,25891301,71,2024-03-04,2024-03-04,67,0,94.37,Yes,No
FMR32121301,25891301,72,2024-03-02,2024-03-03,65,1,90.28,No,No
FMR34203601,25891301,100,2024-03-04,2024-03-04,100,0,100.0,Yes,Yes
FMR33402303,25891301,94,2024-03-03,2024-03-03,94,0,100.0,Yes,Yes
FMR34221301,25891301,44,2024-03-04,2024-03-04,44,0,100.0,Yes,Yes
FMR34202301,25891301,45,2024-03-04,2024-03-04,45,0,100.0,Yes,Yes
FMR32522301,25891301,46,2024-03-02,2024-03-03,46,1,100.0,No,Yes
FMR34522403,25891301,47,2024-03-04,2024-03-05,38,1,80.85,No,No
FMR34520301,25891301,38,2024-03-04,2024-03-04,34,0,89.47,Yes,No
FMR33301301,25891301,92,2024-03-03,2024-03-03,83,0,90.22,Yes,No
FMR34303602,25891301,44,2024-03-04,2024-03-04,40,0,90.91,Yes,No
FMR33220603,25891301,75,2024-03-03,2024-03-03,75,0,100.0,Yes,Yes
FMR32422301,25891301,63,2024-03-02,2024-03-02,63,0,100.0,Yes,Yes
FMR33422301,25891301,63,2024-03-03,2024-03-05,60,2,95.24,No,No
FMR34303602,25891102,352,2024-03-04,2024-03-04,317,0,90.06,Yes,No
FMR34401102,25891102,369,2024-03-04,2024-03-03,369,-1,100.0,Yes,Yes
FMR34520302,25891102,373,2024-03-04,2024-03-05,336,1,90.08,No,No
FMR32121102,25891102,397,2024-03-02,2024-03-01,377,-1,94.96,Yes,No
FMR33902203,25891102,494,2024-03-03,2024-03-03,395,0,79.96,Yes,No
FMR34902102,25891102,465,2024-03-04,2024-03-05,465,1,100.0,No,Yes
FMR32503401,25891102,459,2024-03-02,2024-03-02,367,0,79.96,Yes,No
FMR32720302,25891102,402,2024-03-02,2024-03-02,402,0,100.0,Yes,Yes
FMR33720202,25891102,483,2024-03-03,2024-03-03,483,0,100.0,Yes,Yes
FMR34321602,25891102,368,2024-03-04,2024-03-04,331,0,89.95,Yes,No
FMR32103503,25891102,307,2024-03-02,2024-03-02,246,0,80.13,Yes,No
FMR32421102,25891102,309,2024-03-02,2024-03-04,278,2,89.97,No,No
FMR34421301,25891102,412,2024-03-04,2024-03-04,391,0,94.9,Yes,No
