order_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty
FMR34203601,25891601,110.0,"Friday, March 4, 2022","Friday, March 4, 2022",110
FMR32320302,25891203,347.0,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",347
FMR33320501,25891203,187,"Thursday, March 3, 2022","Thursday, March 3, 2022",150
FMR34220601,25891203,235,"Friday, March 4, 2022","Friday, March 4, 2022",235
FMR33703603,25891203,176.0,"Thursday, March 3, 2022","Thursday, March 3, 2022",176
FMR33721603,25891203,345,"Thursday, March 3, 2022","Thursday, March 3, 2022",345
FMR33420203,25891203,138.0,"Thursday, March 3, 2022","Sunday, March 6, 2022",138
FMR34420402,25891203,381.0,"Friday, March 4, 2022","Saturday, March 5, 2022",381
FMR32403401,25891203,348,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",348
FMR34121203,25891203,480,"Friday, March 4, 2022","Sunday, March 6, 2022",480
FMR32501601,25891203,478.0,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",478
FMR34501203,25891203,491,"Friday, March 4, 2022","Friday, March 4, 2022",491
FMR34102602,25891203,407.0,"Friday, March 4, 2022","Friday, March 4, 2022",387
FMR33902203,25891203,-299,"Thursday, March 3, 2022","Thursday, March 3, 2022",299
FMR34903603,25891203,329,"Friday, March 4, 2022","Friday, March 4, 2022",329
FMR32421203,25891203,-441,"Wednesday, March 2, 2022","Thursday, March 3, 2022",419
FMR33421203,25891203,104,"Thursday, March 3, 2022","Sunday, March 6, 2022",99
FMR33402203,25891203,491,"Thursday, March 3, 2022","Saturday, March 5, 2022",491
FMR33621603,25891203,-138,"Thursday, March 3, 2022","Thursday, March 3, 2022",138
FMR34520301,25891203,172,"Friday, March 4, 2022","Friday, March 4, 2022",155
FMR33702302,25891302,38,"Thursday, March 3, 2022","Thursday, March 3, 2022",30
FMR32320302,25891302,54,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",54
FMR34603302,25891302,-37,"Friday, March 4, 2022","Friday, March 4, 2022",37
FMR34721502,25891302,63,"Friday, March 4, 2022","Saturday, March 5, 2022",60
FMR33621302,25891302,56,"Thursday, March 3, 2022","Friday, March 4, 2022",56
FMR32520302,25891302,-54,"Wednesday, March 2, 2022","Thursday, March 3, 2022",49
FMR33520601,25891302,42,"Thursday, March 3, 2022","Saturday, March 5, 2022",34
FMR34520302,25891302,23,"Friday, March 4, 2022","Saturday, March 5, 2022",22
FMR32420602,25891302,49,"Wednesday, March 2, 2022","Friday, March 4, 2022",49
FMR32902402,25891302,70,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",70
FMR32521302,25891302,34,"Wednesday, March 2, 2022","Thursday, March 3, 2022",34
FMR32720302,25891302,49,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",49
FMR33401603,25891302,40,"Thursday, March 3, 2022","Thursday, March 3, 2022",40
FMR33121302,25891302,26,"Thursday, March 3, 2022","Thursday, March 3, 2022",26
FMR32903403,25891302,42,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",40
FMR32422302,25891302,67,"Wednesday, March 2, 2022","Saturday, March 5, 2022",54
FMR32301302,25891302,29,"Wednesday, March 2, 2022","Saturday, March 5, 2022",29
FMR33721603,25891301,59,"Thursday, March 3, 2022","Thursday, March 3, 2022",59
FMR32420403,25891301,87,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",87
FMR33420301,25891301,23,"Thursday, March 3, 2022","Saturday, March 5, 2022",18
FMR33320501,25891301,46,"Thursday, March 3, 2022","Thursday, March 3, 2022",46
FMR33122301,25891301,29,"Thursday, March 3, 2022","Saturday, March 5, 2022",26
FMR34101301,25891301,76,"Friday, March 4, 2022","Friday, March 4, 2022",76
FMR33421301,25891301,75,"Thursday, March 3, 2022","Saturday, March 5, 2022",67
FMR34421301,25891301,47,"Friday, March 4, 2022","Friday, March 4, 2022",45
FMR34103403,25891301,71,"Friday, March 4, 2022","Friday, March 4, 2022",67
FMR32121301,25891301,72,"Wednesday, March 2, 2022","Thursday, March 3, 2022",65
FMR34203601,25891301,100,"Friday, March 4, 2022","Friday, March 4, 2022",100
FMR33402303,25891301,94,"Thursday, March 3, 2022","Thursday, March 3, 2022",94
FMR34221301,25891301,44,"Friday, March 4, 2022","Friday, March 4, 2022",44
FMR34202301,25891301,45,"Friday, March 4, 2022","Friday, March 4, 2022",45
FMR32522301,25891301,46,"Wednesday, March 2, 2022","Thursday, March 3, 2022",46
FMR34522403,25891301,47,"Friday, March 4, 2022","Saturday, March 5, 2022",38
FMR34520301,25891301,38,"Friday, March 4, 2022","Friday, March 4, 2022",34
FMR33301301,25891301,92,"Thursday, March 3, 2022","Thursday, March 3, 2022",83
FMR34303602,25891301,44,"Friday, March 4, 2022","Friday, March 4, 2022",40
FMR33220603,25891301,75,"Thursday, March 3, 2022","Thursday, March 3, 2022",75
FMR32422301,25891301,63,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",63
FMR33422301,25891301,63,"Thursday, March 3, 2022","Saturday, March 5, 2022",60
FMR34303602,25891102,352,"Friday, March 4, 2022","Friday, March 4, 2022",317
FMR34401102,25891102,369,"Friday, March 4, 2022","Thursday, March 3, 2022",369
FMR34520302,25891102,373,"Friday, March 4, 2022","Saturday, March 5, 2022",336
FMR32121102,25891102,397,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",377
FMR33902203,25891102,494,"Thursday, March 3, 2022","Thursday, March 3, 2022",395
FMR34902102,25891102,465,"Friday, March 4, 2022","Saturday, March 5, 2022",465
FMR32503401,25891102,459,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",367
FMR32720302,25891102,402,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",402
FMR33720202,25891102,483,"Thursday, March 3, 2022","Thursday, March 3, 2022",483
FMR34321602,25891102,368,"Friday, March 4, 2022","Friday, March 4, 2022",331
FMR32103503,25891102,307,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",246
FMR32421102,25891102,309,"Wednesday, March 2, 2022","Friday, March 4, 2022",278
FMR34421301,25891102,412,"Friday, March 4, 2022","Friday, March 4, 2022",391
FMR34320102,25891102,432,"Friday, March 4, 2022","Saturday, March 5, 2022",432
FMR32420102,25891102,310,"Wednesday, March 2, 2022","Saturday, March 5, 2022",310
FMR32702601,25891102,478,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",454
FMR34220601,25891102,473,"Friday, March 4, 2022","Friday, March 4, 2022",473
FMR34201202,25891102,372,"Friday, March 4, 2022","Friday, March 4, 2022",353
FMR32102102,25891102,496,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",496
FMR34122102,25891102,443,"Friday, March 4, 2022","Sunday, March 6, 2022",399
FMR33621102,25891102,480,"Thursday, March 3, 2022","Sunday, March 6, 2022",480
FMR32622502,25891502,153,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",138
FMR33622502,25891502,132,"Thursday, March 3, 2022","Thursday, March 3, 2022",132
FMR32420602,25891502,165,"Wednesday, March 2, 2022","Friday, March 4, 2022",157
FMR32201502,25891502,160,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",160
FMR33220603,25891502,211,"Thursday, March 3, 2022","Thursday, March 3, 2022",211
FMR33202502,25891502,141,"Thursday, March 3, 2022","Thursday, March 3, 2022",134
FMR33520502,25891502,173,"Thursday, March 3, 2022","Sunday, March 6, 2022",173
FMR34520503,25891502,143,"Friday, March 4, 2022","Monday, March 7, 2022",129
FMR33503502,25891502,238,"Thursday, March 3, 2022","Thursday, March 3, 2022",238
FMR34503502,25891502,231,"Friday, March 4, 2022","Thursday, March 3, 2022",231
FMR33401603,25891502,140,"Thursday, March 3, 2022","Thursday, March 3, 2022",133
FMR34401503,25891502,200,"Friday, March 4, 2022","Friday, March 4, 2022",200
FMR34721502,25891502,123,"Friday, March 4, 2022","Saturday, March 5, 2022",98
FMR34702502,25891502,239,"Friday, March 4, 2022","Friday, March 4, 2022",215
FMR33521502,25891502,167,"Thursday, March 3, 2022","Saturday, March 5, 2022",167
FMR33520502,25891403,359,"Thursday, March 3, 2022","Sunday, March 6, 2022",341
FMR33320501,25891403,239,"Thursday, March 3, 2022","Thursday, March 3, 2022",239
FMR34422403,25891403,265,"Friday, March 4, 2022","Sunday, March 6, 2022",252
FMR32903403,25891403,244,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",220
FMR32420403,25891403,397,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",318
FMR33101403,25891403,315,"Thursday, March 3, 2022","Thursday, March 3, 2022",283
FMR32202603,25891403,440,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",440
FMR34303602,25891403,427,"Friday, March 4, 2022","Friday, March 4, 2022",406
FMR32121403,25891403,441,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",441
FMR34522403,25891403,320,"Friday, March 4, 2022","Saturday, March 5, 2022",320
FMR34103403,25891403,467,"Friday, March 4, 2022","Friday, March 4, 2022",420
FMR32220503,25891403,465,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",372
FMR32622503,25891503,208,"Wednesday, March 2, 2022","Tuesday, March 1, 2022",198
FMR34622602,25891503,241,"Friday, March 4, 2022","Friday, March 4, 2022",241
FMR33720503,25891503,-146,"Thursday, March 3, 2022","Friday, March 4, 2022",146
FMR32220503,25891503,115,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",103
FMR33220603,25891503,239,"Thursday, March 3, 2022","Thursday, March 3, 2022",239
FMR34321602,25891503,246,"Friday, March 4, 2022","Friday, March 4, 2022",246
FMR32221603,25891503,158,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",158
FMR33221503,25891503,106,"Thursday, March 3, 2022","Thursday, March 3, 2022",101
FMR32103503,25891503,126,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",120
FMR33401603,25891503,161,"Thursday, March 3, 2022","Thursday, March 3, 2022",145
FMR34401503,25891503,192,"Friday, March 4, 2022","Friday, March 4, 2022",192
FMR34721503,25891503,144,"Friday, March 4, 2022","Friday, March 4, 2022",137
FMR33320503,25891503,140,"Thursday, March 3, 2022","Sunday, March 6, 2022",140
FMR34520503,25891503,233,"Friday, March 4, 2022","Monday, March 7, 2022",221
FMR32101601,25891503,183,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",183
FMR32422503,25891503,138,"Wednesday, March 2, 2022","Thursday, March 3, 2022",110
FMR34603302,25891103,378,"Friday, March 4, 2022","Friday, March 4, 2022",378
FMR34702602,25891103,480,"Friday, March 4, 2022","Thursday, March 3, 2022",432
FMR32601103,25891103,310,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",294
FMR34601402,25891103,388,"Friday, March 4, 2022","Friday, March 4, 2022",310
FMR33303501,25891103,335,"Thursday, March 3, 2022","Thursday, March 3, 2022",335
FMR32621103,25891103,431,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",431
FMR34621103,25891103,357,"Friday, March 4, 2022","Friday, March 4, 2022",339
FMR32501601,25891103,318,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",318
FMR33501401,25891103,400,"Thursday, March 3, 2022","Thursday, March 3, 2022",400
