order_id,customer_id,order_placement_date
FMR34203601,789203,"Tuesday, March 1, 2022"
FMR32320302,789320,"Tuesday, March 1, 2022"
FMR33320501,789320,"Tuesday, March 1, 2022"
FMR34220601,789220,"Tuesday, March 1, 2022"
FMR33703603,789703,"Tuesday, March 1, 2022"
FMR33721603,789721,
FMR33420203,789420,"Tuesday, March 1, 2022"
FMR34420402,789420,"Tuesday, March 1, 2022"
FMR32403401,789403,"Tuesday, March 1, 2022"
FMR34121203,789121,"Tuesday, March 1, 2022"
FMR32501601,789501,"Tuesday, March 1, 2022"
FMR34501203,789501,"Tuesday, March 1, 2022"
FMR34102602,789102,"Tuesday, March 1, 2022"
FMR33902203,789902,"Tuesday, March 1, 2022"
FMR34903603,789903,"Tuesday, March 1, 2022"
FMR32421203,789421,"Tuesday, March 1, 2022"
FMR33421203,789421,"Tuesday, March 1, 2022"
FMR33402203,789402,"Tuesday, March 1, 2022"
FMR33621603,789621,"Tuesday, March 1, 2022"
FMR34520301,789520,
FMR33702302,789702,"Tuesday, March 1, 2022"
FMR34603302,789603,"Tuesday, March 1, 2022"
FMR34721502,789721,"Tuesday, March 1, 2022"
FMR33621302,789621,"Tuesday, March 1, 2022"
FMR32520302,789520,"Tuesday, March 1, 2022"
FMR33520601,789520,"Tuesday, March 1, 2022"
FMR34520302,789520,"Tuesday, March 1, 2022"
FMR32420602,789420,"Tuesday, March 1, 2022"
FMR32902402,789902,"Tuesday, March 1, 2022"
FMR32521302,789521,"Tuesday, March 1, 2022"
FMR32720302,789720,"Tuesday, March 1, 2022"
FMR33401603,789401,"Tuesday, March 1, 2022"
FMR33121302,789121,"Tuesday, March 1, 2022"
FMR32903403,789903,"Tuesday, March 1, 2022"
FMR32422302,789422,"Tuesday, March 1, 2022"
FMR32301302,789301,"Tuesday, March 1, 2022"
FMR32420403,789420,"Tuesday, March 1, 2022"
FMR33420301,789420,"Tuesday, March 1, 2022"
FMR33122301,789122,"Tuesday, March 1, 2022"
FMR34101301,789101,"Tuesday, March 1, 2022"
FMR33421301,789421,"Tuesday, March 1, 2022"
FMR34421301,789421,"Tuesday, March 1, 2022"
FMR34103403,789103,"Tuesday, March 1, 2022"
FMR32121301,789121,"Tuesday, March 1, 2022"
FMR33402303,789402,"Tuesday, March 1, 2022"
FMR34221301,789221,"Tuesday, March 1, 2022"
FMR34202301,789202,"Tuesday, March 1, 2022"
FMR32522301,789522,"Tuesday, March 1, 2022"
FMR34522403,789522,"Tuesday, March 1, 2022"
FMR33301301,789301,"Tuesday, March 1, 2022"
FMR34303602,789303,"Tuesday, March 1, 2022"
FMR33220603,789220,"Tuesday, March 1, 2022"
FMR32422301,789422,"Tuesday, March 1, 2022"
FMR33422301,789422,"Tuesday, March 1, 2022"
FMR34401102,789401,"Tuesday, March 1, 2022"
FMR32121102,789121,"Tuesday, March 1, 2022"
FMR34902102,789902,"Tuesday, March 1, 2022"
FMR32503401,789503,"Tuesday, March 1, 2022"
FMR33720202,789720,"Tuesday, March 1, 2022"
FMR34321602,789321,"Tuesday, March 1, 2022"
FMR32103503,789103,"Tuesday, March 1, 2022"
FMR32421102,789421,"Tuesday, March 1, 2022"
